Name		Organization 1 - Name	Phone 1 - Value	Website 1 - Value
Spotlight Electric Ltd		Spotlight Electric Ltd	9055794733	http://www.spotlightelectric.ca/
COZZY ELECTRIC INC.		COZZY ELECTRIC INC.	7057861824	http://cozzyelectric.ca/
Scugog Electric		Scugog Electric	9054098278	http://scugogelectric.ca/
Port Electric		Port Electric	9052608831	http://portelectriccontractors.com/
Progressive Electric & Plumbing		Progressive Electric & Plumbing	9059858950	https://pepelectric.plumbing/
BAM Electrical Contracting		BAM Electrical Contracting	9059140936	https://bamelectric.ca/
Emmons Electric Inc.		Emmons Electric Inc.	2893145152	http://www.emmonselectric.com/
Gord's Electric		Gord's Electric	9054418490	http://gordselectric.ca/
Lit Electrical Contractors Inc.		Lit Electrical Contractors Inc.	4165792947	http://www.litelectrical.com/
Leslie & Palmer Electrical Contractor		Leslie & Palmer Electrical Contractor	6472712235	http://www.leslieandpalmer.com/
Powersource Electric Inc.		Powersource Electric Inc.	2898927074	https://www.powersourceelectric.ca/
AlphaMega Electric Ltd.		AlphaMega Electric Ltd.	9052445046	http://alpha-mega.ca/
Doyle's Electric		Doyle's Electric	9054491399	https://www.doyles.company/
Canon Electric		Canon Electric	9059265535	http://canonelectric.ca/
UNIBOLT ELECTRIC INC.		UNIBOLT ELECTRIC INC.	9055918658	http://www.unibolt.ca/
Barrett Electric Inc.		Barrett Electric Inc.	9054318020	http://www.barrettelectric.ca/
Langmaid Electric Contracting		Langmaid Electric Contracting	7053249843	https://www.langmaidelectric.com/
Meek Electric		Meek Electric	4169890047	http://www.meekelectric.ca/
Safe and Sound Connections		Safe and Sound Connections	9052441325	https://safeandsoundconnections.com/
EverReady Electrical		EverReady Electrical	6475602463	http://www.whitbyonelectrician.ca/
OKANA Electrical		OKANA Electrical	4163881003	https://www.okanapro.ca/
North Electrik Inc | 24/7 Whitby Electrician		North Electrik Inc | 24/7 Whitby Electrician	6477094959	https://northelectrik.com/
Fitzpatrick Electrical Contractor Inc.		Fitzpatrick Electrical Contractor Inc.	9056861661	http://www.fitze.ca/
Brite Electrical Solutions		Brite Electrical Solutions	9052404703	http://www.briteelectricalsolutions.com/
Browns Electrical and Consulting		Browns Electrical and Consulting	9054494884	https://brownselectricalco.wixsite.com/brownselectrical
SAV Electric Inc		SAV Electric Inc	4167057806	http://www.savelectric.ca/
Service First Electric		Service First Electric	9054417118	http://www.servicefirstelectric.ca/
Hanika Electric Inc.		Hanika Electric Inc.	6478923055	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjc062U-d37AhW2_OMHHaVsAIAYABAIGgJ5bQ&ohost=www.google.com&cid=CAASE-Ro33e51kMsDPcmYZt3Fo_nRb4&sig=AOD64_2tgRCI7FnClJWSk0Fj-ZM1o92G-A&q=&ctype=99&ved=2ahUKEwi3iqaU-d37AhV6jIkEHU1qAh04KBCErAF6BAgBECs&adurl=
Curt Brown Electric Inc.		Curt Brown Electric Inc.	9054311912	http://www.curtbrownelectric.com/
Eco Electrical HVAC.		Eco Electrical HVAC.	4168951094	https://ecoelectricalhvac.business.site/
Bird Electric		Bird Electric	9054100532	http://www.birdelectric.ca/
InnoWave Electric Inc.		InnoWave Electric Inc.	9054094949	http://www.innowaveinc.com/
MB Electrical Group		MB Electrical Group	2893143607	https://www.mbelectricalgroup.ca/
Energy Rich Electric		Energy Rich Electric	6473213674	http://energyrichelectric.ca/
Top Electrical Inc.		Top Electrical Inc.	6475005616	http://www.topelectrical.ca/
Falstaff Electrical Services Ltd		Falstaff Electrical Services Ltd	9056427020	https://falstaffelectric.ca/
Captain Electric		Captain Electric	9056834195	https://captainelectric.ca/?utm_source=google&utm_medium=organic&utm_campaign=local
Electric Electric Ltd		Electric Electric Ltd	7058785878	https://www.electricelectricltd.com/
Orbit Electrical		Orbit Electrical	9055712977	https://orbit-electrical.business.site/
FM Electrical Service		FM Electrical Service	6475611583	https://fmelectricalservice.com/
Jng Electric Inc.		Jng Electric Inc.	9052427254	http://www.jngelectric.ca/
Penfold Electric LTD		Penfold Electric LTD	4166391796	https://penfoldelectric.com/
ACCL Electrical		ACCL Electrical	4167598567	http://www.acclelectrical.ca/
Tradescope Electrical		Tradescope Electrical	9052447982	http://tradescopeelectrical.com/
Try-Umph Electric Inc.		Try-Umph Electric Inc.	6478798674	http://www.tryumphelectric.com/
Space Age Electric		Space Age Electric	9054366744	https://spaceageelectric.business.site/
Renewal Electrical Contracting		Renewal Electrical Contracting	6472084928	http://renewalec.com/
TMK Electrical and Contracting Services		TMK Electrical and Contracting Services	9054398529	https://www.tmkelectrical.ca/
pot lights installation		pot lights installation	6479579735	https://potlightsinstallation.com/
Jayco Electrical		Jayco Electrical	6474002823	http://jaycoelectrical.com/
J.C. Electrical Inc		J.C. Electrical Inc	9057069355	http://www.jcelectrical.ca/
Brooklin Electric Limited		Brooklin Electric Limited	9056650002	http://www.brooklinelectric.com/
JK Lighting Solutions - Pot Lights Installation		JK Lighting Solutions - Pot Lights Installation	4377474782	https://jklightingsolutions.com/
Power Blitz Electrical		Power Blitz Electrical	18556080178	https://www.powerblitz.ca/?utm_source=gmb&utm_medium=website
Randy Perry Electric Ltd.		Randy Perry Electric Ltd.	9055570072	http://www.randyperryelectric.com/
Superior Solutions Contracting		Superior Solutions Contracting	2896771945	https://oshawageneralcontracting.ca/
Ampfinity Electrical Services		Ampfinity Electrical Services	4168412653	http://www.ampfinity.ca/
A.S. Electrical Services Ltd.		A.S. Electrical Services Ltd.	4167378593	https://aselectrical.ca/
Envirotech Insulation Inc		Envirotech Insulation Inc	2892746600	http://www.envirotechinsulation.ca/
Varg inc. Electrical Contractor		Varg inc. Electrical Contractor	4168059418	https://www.vargelectric.com/
Eplus Wiring and Electrical Ltd.		Eplus Wiring and Electrical Ltd.	4168540108	https://www.epluswiringandelectrical.com/
Solutions Electrical		Solutions Electrical	4167660466	https://solutionselectrical.ca/
Electricians in North York		Electricians in North York	6478323800	https://electriciansnorthyork.com/
Vivid Electric Inc		Vivid Electric Inc	6474094094	https://vividelectric.ca/
Influx Electric		Influx Electric	4162524470	http://www.influxelectric.com/
GCCElectric		GCCElectric	4168480071	https://gccelectric.com/
Mapleleaf Electric Inc		Mapleleaf Electric Inc	6473443320	http://www.mapleleafelectricinc.com/
YT Electric Ltd.		YT Electric Ltd.	4168859048	http://www.ytelectric.com/
Vicamp Electrical Pot light installation		Vicamp Electrical Pot light installation	4167230541	http://www.vicamp.net/
Ampower Electrical Contractors		Ampower Electrical Contractors	9057937193	http://www.ampowerelectric.com/
Electrician License		Electrician License	18883610003	https://www.electricianlicense.com/
Trust Electric Inc		Trust Electric Inc	4163153356	http://www.trustelectric.ca/
Wiljan Electrical Inc		Wiljan Electrical Inc	6479293873	https://www.wiljan.ca/
Absolute Power Electrical Contracting Ltd. - Toronto		Absolute Power Electrical Contracting Ltd. - Toronto	4164020949	https://absolute-power-electrical-contracting-ltd.business.site/?utm_source=gmb&utm_medium=referral
AJ and Associates		AJ and Associates	4165298152	http://www.ajandassociates.ca/
Green Tech Electric Inc.		Green Tech Electric Inc.	18008289750	http://greentechelectric.ca/
Marx Mechanical Contracting		Marx Mechanical Contracting	2893010720	https://marxmechanical.com/
Smith and Long (Head Office)		Smith and Long (Head Office)	4163910443	http://www.smithandlong.com/
Bermis Inc		Bermis Inc	9054544401	https://bermis.com/
RONA Port Perry		RONA Port Perry	9059857334	https://www.rona.ca/en/Rona-port-perry-port-perry?y_source=1_MzkxNzQwOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
"Nedco - Oshawa, ON"		"Nedco - Oshawa, ON"	9057218400	https://www.nedco.ca/cnd/Oshawa/store/h-WR
A.S. Electrical Services Ltd.		A.S. Electrical Services Ltd.	9058877632	https://aselectrical.ca/electrician-oakville-milton/contact.html
RA Tech Electrical Services INC		RA Tech Electrical Services INC	9058574212	http://www.ratech.ca/
Renew Electric		Renew Electric	4168274149	http://www.renew-electric.com/
All Power Electric		All Power Electric	4166163405	http://allpowerelectric.ca/
Toronto Electrician		Toronto Electrician	6479338444	https://torontoelectrical.blogspot.com/
EVM Electric		EVM Electric	9057690840	http://www.evmelectric.com/
APS Electric		APS Electric	4164560545	http://aps-electric.ca/
Sparks Lighting and Electric Co. Ltd.		Sparks Lighting and Electric Co. Ltd.	6475771171	https://sparkselectric.ca/
Tri-Amp Electrical Services Ltd.		Tri-Amp Electrical Services Ltd.	4165459075	https://triamp.ca/
E M F Electrical Services		E M F Electrical Services	9054058836	http://emfelectrical.ca/
Mandi Electric Inc		Mandi Electric Inc	4167237819	https://www.mandielectric.ca/
A. A. Carter Electric Ltd.		A. A. Carter Electric Ltd.	4169931335	http://www.aacarterelectric.com/
Muzzell Electrical		Muzzell Electrical	5192702096	http://www.muzzellelectrical.ca/
Kudlak-Baird Ltd		Kudlak-Baird Ltd	9056243479	https://kudlak-baird.com/
Bradco Electrical Services Ltd		Bradco Electrical Services Ltd	9058900506	http://www.bradcoelectric.com/
Parklane Electrical		Parklane Electrical	9055108887	https://parklane-electrical.ca/
Victor Electric		Victor Electric	9055269021	http://www.victorelectric.com/
Sheridan Electric Services Limited		Sheridan Electric Services Limited	18005178512	http://www.sheridanelectric.ca/
Scugog Computers		Scugog Computers	9059852161	http://www.scugogcomputers.com/
Genco Electrical & Mechanical Ltd		Genco Electrical & Mechanical Ltd	4162340575	http://www.gencoelectric.com/
International Brotherhood Of Electrical Workers Local 636		International Brotherhood Of Electrical Workers Local 636	9052860330	http://www.ibewlocal636.com/
The Electric Company		The Electric Company	9058208658	http://theelectriccompany.ca/
Lake Scugog Lumber Inc.		Lake Scugog Lumber Inc.	9059857391	http://www.scugoglumberrooftrussesontario.com/
RICO Lighting & Electrical Services		RICO Lighting & Electrical Services	18882247426	http://www.ricoelectric.com/
Electric Potential		Electric Potential	4168877233	http://www.electricpotential.ca/
Maple Leaf Foods Inc		Maple Leaf Foods Inc	9059857373	https://www.mapleleaffoods.com/
Scugog Equipment Rentals		Scugog Equipment Rentals	9059854416	http://www.scugogequipmentrental.ca/
Mainway Electric Ltd		Mainway Electric Ltd	9053335966	http://www.mainwayelectric.com/
Abacus Electric		Abacus Electric	9054391147	http://abacuselectric.ca/
Brothers Tech Solutions		Brothers Tech Solutions	9056383333	http://brotherstechsolutions.ca/
Denny¡¯s Electric		Denny¡¯s Electric	9053888130	https://electrical-contractors.ca/
Scugog Chamber of Commerce		Scugog Chamber of Commerce	9059854971	http://scugogchamber.ca/
Mississauga Electrical		Mississauga Electrical	4163571729	https://www.mississaugaelectrical.ca/
Forecourt Electrical Services Inc		Forecourt Electrical Services Inc	4168487406	https://forecourt-electrical-services.business.site/?utm_source=gmb&utm_medium=referral
"RICK,S ELECTRICAL SERVICE"		"RICK,S ELECTRICAL SERVICE"	6479557237	https://ricks-electrical-service.business.site/?utm_source=gmb&utm_medium=referral
Insight Electric Inc		Insight Electric Inc	4168002371	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi-kZrL-d37AhWFh8gKHVfIAgUYABAIGgJxdQ&ohost=www.google.com&cid=CAASE-Ro00gOc1fF-uZn9cU8dzsiQoI&sig=AOD64_3tpOw5CA9N8pvoorU_jL64l3dyoQ&q=&ctype=99&ved=2ahUKEwj5-pHL-d37AhVeEVkFHaaYBPoQhKwBegQIGRAs&adurl=
DJD Electrical Contracting Inc		DJD Electrical Contracting Inc	4169021590	http://www.djdcontracting.com/
Phoenix Electrical Services Inc.		Phoenix Electrical Services Inc.	4165096682	http://www.phoenixelectricalstouffville.ca/
NextGen Electrical Services Ltd.		NextGen Electrical Services Ltd.	6479953722	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiFkcnS-d37AhXM_-MHHTsFAYoYABAAGgJ5bQ&ohost=www.google.com&cid=CAASE-Rocdh-33voyJaPk7sb2Q74Qo8&sig=AOD64_24dWaOJkfFKmsJIkr0KdcaQ0D4CA&q=&ctype=99&ved=2ahUKEwir7MHS-d37AhXmkYkEHZTsARw4FBCErAF6BAgBEBU&adurl=
ABM Electrical Contractors Ltd		ABM Electrical Contractors Ltd	2897961815	http://abmelectric.ca/
KIYAN ELECTRIC INC- Licensed Electrician - electrical and lighting contractor		KIYAN ELECTRIC INC- Licensed Electrician - electrical and lighting contractor	4164504030	http://www.kiyanelectric.ca/
Surrge - Best Electrician Services		Surrge - Best Electrician Services	9059631615	https://surrge.ca/?utm_source=Google+Business+Profile&utm_medium=GMB&utm_campaign=GMB&utm_id=Local+Listing&utm_term=GMB&utm_content=GMB
Duke of York Electric		Duke of York Electric	9053340732	https://dukeofyorkelectric.com/
ProTech-Electric		ProTech-Electric	6479658988	http://protech-electric.ca/
AC DC Electricians		AC DC Electricians	6477395353	http://www.acdcelectricians.ca/
BigGuy Electric Inc.		BigGuy Electric Inc.	9058678017	http://bigguyelectricinc.com/
Newmarket electrical services | Moon Tech Electric		Newmarket electrical services | Moon Tech Electric	2893951932	http://www.moontechelectric.net/
Sam Electric		Sam Electric	4162588794	https://samelectric.ca/
Mr. Electric of GTA West		Mr. Electric of GTA West	18664324865	https://mrelectric.com/gta-west/?cid=LSTL_MRE-CA000274&utm_source=gmb&utm_campaign=local&utm_medium=organic
Mr. Express Electric		Mr. Express Electric	6476128000	http://www.mrexpresselectric.ca/
PowerLink Solutions Inc		PowerLink Solutions Inc	6479935465	http://www.powerlinksolutions.com/
Custom and Quality inc		Custom and Quality inc	4166703703	http://www.customandquality.com/
Holley Electric Ltd		Holley Electric Ltd	9054511505	http://www.holleyelectric.ca/
24/7 ELECTRICIAN | MMS Electric .		24/7 ELECTRICIAN | MMS Electric .	5878902680	https://electrician-calgary.ca/
AC Electrical - Your Home Electricians		AC Electrical - Your Home Electricians	4166988100	https://acelectrical.ca/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=Scarborough
Think Green Electrical		Think Green Electrical	6474707267	http://thinkgreenelectrical.com/
Kancal Electric Inc.		Kancal Electric Inc.	4166172348	https://kancalelectric.com/
Peel Electrical Contractors Inc		Peel Electrical Contractors Inc	4165299234	http://www.peelelectricialcontractors.ca/
M7 Power | Commercial and Industrial Licensed Electricians Mississauga		M7 Power | Commercial and Industrial Licensed Electricians Mississauga	6479058461	https://www.m7power.com/
"Safe Electrical Solutions - Residential Electrician, Emergency Electrical Service"		"Safe Electrical Solutions - Residential Electrician, Emergency Electrical Service"	4162367100	https://safeelectricalsolutions.com/
"Kuik Electric, Inc."		"Kuik Electric, Inc."	15082782802	http://kuikelectric.com/
Amped Electric		Amped Electric	17742484723	http://www.ampedelectricma.com/
Corlan Electric Inc.		Corlan Electric Inc.	9056242533	http://www.corlanelectric.com/
AR Electrical Services Inc		AR Electrical Services Inc	4166609923	http://arelectrical.ca/
Electrician in Etobicoke		Electrician in Etobicoke	4378878911	https://torontoelectricwiringinstall.blogspot.com/
Ontime Electric - Electricians Toronto		Ontime Electric - Electricians Toronto	4168826000	http://ontime-electric.ca/
STS Electrical Ltd.		STS Electrical Ltd.	4166441543	https://www.sts-na.com/
The Flooring Barn #WhereFashionMeetsFloors		The Flooring Barn #WhereFashionMeetsFloors	9058529215	http://www.theflooringbarn.com/
Connectus Electric Inc.		Connectus Electric Inc.	6477727555	http://www.connectuselectric.ca/
Star Service Electrical Contracting Inc.		Star Service Electrical Contracting Inc.	4164564736	http://www.starserviceelectrical.ca/
NSC Electric Inc.		NSC Electric Inc.	9054663923	https://nscelectric.com/
Pro Trade Electric		Pro Trade Electric	7057022799	https://protradeelectric.ca/
Birnie Home Safe		Birnie Home Safe	9055691818	http://birniehomesafe.com/
"Langstaff & Sloan Inc | Electrical Contractors | Commercial Electrical Services | Toronto, Ontario"		"Langstaff & Sloan Inc | Electrical Contractors | Commercial Electrical Services | Toronto, Ontario"	4165032033	https://langstaffandsloan.com/?utm_source=GMBlisting&utm_medium=organic
Stratton Electric Co		Stratton Electric Co	15082782703	https://strattonelectric.net/
2 B Wired Inc		2 B Wired Inc	4167356661	http://www.2bwired.ca/
B & R Electric		B & R Electric	9058141881	http://brelectric.ca/?y_source=1_NDQzNDYzNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
JML Electric		JML Electric	9054697524	http://jmlelectric.ca/
Gauthier Electric Mississauga		Gauthier Electric Mississauga	9058555355	https://gauthier-electric-mississauga.business.site/?utm_source=gmb&utm_medium=referral
Can Power Electric		Can Power Electric	9053320446	http://www.canpowerelectric.ca/
PCC Electrical Services Ltd		PCC Electrical Services Ltd	4.47726E+11	http://www.electrician-uxbridge.co.uk/
Wilson Electric Installations Inc		Wilson Electric Installations Inc	6476961723	http://www.wilsonelectricinc.ca/?utm_campaign=gmb
Beetham Electric		Beetham Electric	9054490890	http://www.beethamelectric.com/
Vickery Electric		Vickery Electric	9056681108	https://www.vickeryelectric.com/
CMD Electric Ltd.		CMD Electric Ltd.	9059950476	http://www.cmdelectric.ca/
Mace Electric		Mace Electric	6475346223	http://maceelectric.ca/
D. Randall Industrial Electric		D. Randall Industrial Electric	9054339955	http://www.randallelectric.ca/
Surefoot Electric		Surefoot Electric	9055792690	https://surefootelectric.com/
ARJO Electric Inc.		ARJO Electric Inc.	4165737730	http://arjoelectric.ca/
Rand Electric		Rand Electric	9056838299	http://www.randelectric.ca/
CFI Electric Ltd		CFI Electric Ltd	4165759999	https://www.cfielectric.ca/
Enercare		Enercare	9052452903	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiQ_eKN-t37AhVJ9uMHHdqSAPQYABAAGgJ5bQ&ohost=www.google.com&cid=CAASE-Ro3ysvGCRwJQYutj-FEVHT2nI&sig=AOD64_0Z7xFYkxeAwcPcAp6k0snVArlruw&q=&ctype=99&ved=2ahUKEwiU89qN-t37AhUblIkEHdi_DpQ4KBCErAF6BAgBECw&adurl=
Riley Group Electrical Limited - Licensed electricians		Riley Group Electrical Limited - Licensed electricians	4168960669	http://www.therileygroup4.com/
Pro Trade Electric		Pro Trade Electric	4162541161	https://enricoelectric.ca/
"Reliance Heating, Air Conditioning & Plumbing"		"Reliance Heating, Air Conditioning & Plumbing"	9057256548	https://reliancehomecomfort.com/durham/?utm_source=google&utm_medium=organic&utm_campaign=gmb
MDK ELECTRIC LTD		MDK ELECTRIC LTD	9054287622	http://www.mdkelectric.ca/
Electro Works Ltd		Electro Works Ltd	9054329202	http://electro-works.ca/
NSW Electric		NSW Electric	4165653506	http://www.nswelectric.com/
Ajax Electrical		Ajax Electrical	2892756543	https://www.ajaxelectrical.com/
Thomas Electric Inc		Thomas Electric Inc	9057202223	http://www.thomaselectric.ca/
SMM Electric		SMM Electric	6477054321	http://www.smmelectric.com/
E-Care Electrical Services		E-Care Electrical Services	4167373103	http://www.ecareelectrical.ca/
Limcan Certified Heating and Air Conditioning		Limcan Certified Heating and Air Conditioning	9054272577	https://www.limcancertified.ca/?utm_source=google&utm_medium=gmb&utm_campaign=limcan-gmb
J W Contracting		J W Contracting	9056661400	http://jwcontracting.com/
High ceilings Chandelier Installation		High ceilings Chandelier Installation	4169102020	https://high-ceilings-chandelier.business.site/
Rushforth Electric and Heating 1976 Limited		Rushforth Electric and Heating 1976 Limited	4164217262	http://www.rushforth-electric.com/
Global Electrical Contractors		Global Electrical Contractors	4168221286	https://globalelectricalcontractors.ca/
Set Electric		Set Electric	4166166347	http://www.setelectric.ca/
Toronto Wiring		Toronto Wiring	6478476252	http://torontowiring.com/
PCMINC		PCMINC	6476414751	http://profilecabinetry.com/
Task-co Building Maintenance		Task-co Building Maintenance	9052404412	https://task-co.com/
Precision Electric		Precision Electric	9053345202	http://www.precisionelectric.ca/
The Green Electrician		The Green Electrician	4165789258	http://thegreenelectrician.ca/
Effective Electrical		Effective Electrical	4168417835	https://effectiveelectrical.ca/
Solus Electrical & Renovations		Solus Electrical & Renovations	6472612704	http://www.soluselectrical.com/
Elexicon Group		Elexicon Group	18007696832	https://elexicongroup.com/
H MAN ELECTRIC		H MAN ELECTRIC	4168381999	https://www.hmanelectric.ca/
Colony Electrical Inc.		Colony Electrical Inc.	4162728610	http://www.colonyelectrical.com/
Kennedy Electric & Cabling		Kennedy Electric & Cabling	9053084567	http://www.kelectric.ca/
D. Sayers Electric Inc		D. Sayers Electric Inc	9052573728	http://dsayerselectric.ca/
Mainguy & Son's Electrical		Mainguy & Son's Electrical	7058755061	http://www.mainguyandsonselectrical.ca/
NAS Electrical Contracting		NAS Electrical Contracting	6479834186	https://nas-electrical.ca/
Pro-Connect Electrical Services		Pro-Connect Electrical Services	9058475000	http://www.proconnectelectric.ca/
Nomis Electric		Nomis Electric	4167174704	http://www.nomiselectric.com/
Ohmega Electric Inc		Ohmega Electric Inc	9058422002	http://ohmegaelectric.com/
Hume Electrical Services (whitby) Ltd		Hume Electrical Services (whitby) Ltd	4.47815E+11	http://www.humeelectrical.co.uk/
JSM Electrical Services		JSM Electrical Services	9056387048	https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj5levZ-t37AhVJW3IKHTxQAR4YABAAGgJxdQ&ohost=www.google.com&cid=CAASE-RoBEDZ-hN4PIrPrT93pbbOtJs&sig=AOD64_2cqn8b4F2rfba2Nth-zsTGKAhabw&q=&ctype=99&ved=2ahUKEwiZ0-TZ-t37AhVnnHIEHbO6CP0QhKwBegQIBxAt&adurl=
Ivy League Electric Inc.		Ivy League Electric Inc.	9056353919	https://www.theivyleagueway.ca/
Brant Electric Ltd		Brant Electric Ltd	9056345577	https://www.brantelectriclimited.ca/
Halton Electric		Halton Electric	9053352104	http://www.haltonelectric.com/
Canadian Electrical Services		Canadian Electrical Services	9056813940	https://canadianelectricalservices.com/
Dynamize Electric Inc.		Dynamize Electric Inc.	9052209244	http://www.dynamizeelectric.ca/
